,Actb,Aldoa,Anxa2,Btg1,Calm1,Ccl3,Ccl4,Ccl5,Cd14,Csde1,Cxcl2,Cyb5a,Eef1a1,Esd,Fth1,Ftl1,Gapdh,Hspa8,Lyz2,Naca,Npm1,Pkm,Ppia,Prdx1,Ptges3,Ran,Rpl13,Rpl18a,Rpl4,Rpl7,Rpl9,Rps15a,Rps19,Rps3,Rpsa,Sdc4,Serf2,Slc25a5,Sod1,Spp1,Sqstm1,Ubb,Ubc,Zfp280d,mt-Atp6,mt-Co1,mt-Co2,mt-Co3,mt-Cytb,mt-Nd1
GAPDH,0.9893056964359992,2.304840037162466,1.218891028053725,1.2903342504760944,0.6211297162411397,0.6263448994868801,1.4063731271112614,0.867640940983482,1.515075050578557,2.146413992655007,1.0017360572182195,2.894859735511854,1.6981185865999389,2.1601399050825862,2.197458610114309,2.2006912272377415,1.6912866461886373,2.8844022662528612,2.076001431120501,1.2905618497167803,1.7539856582816327,2.082861152153746,2.073924277054124,2.7634658876975413,0.670308837672925,1.2949385396237534,1.1377472143644278,1.1354311631555734,1.3823447068576553,1.8473861252886066,3.2524304028197943,2.304438678176414,1.5169501409878352,0.76811861711672,1.382067335371744,2.2779904304717196,0.5165228905371109,2.212449808297558,1.5619346261016729,1.293524265580176,2.6813984905558153,2.338995892530606,1.4965250644426733,1.641961597305416,1.6544213777548584,1.6706759346291302,1.8456785959771465,1.2291190403865337,1.8334578503978025,0.7089485496446879
IKBKB,1.959974130167628,1.1540170558693938,1.3001494631210013,2.071342696276274,0.8409414632903098,1.7049369893414712,0.1475287796062743,1.8686427478678425,0.6453471281320056,0.9322830526033139,1.33690559671887,1.6498868216319595,1.3830264548303688,1.793282989506277,1.080448154681471,2.5377185265399866,1.5279842044065322,2.196904987860423,1.1920952248315524,0.9927527664756067,1.8269710062388738,1.1303635598958275,0.8508007917121491,2.844268240086512,1.1268935405963445,2.468598629934078,0.13174299682007348,2.1499260520156436,1.1371388032799035,1.213518280118404,2.083082872416572,2.2553988666198577,2.1414206057492033,1.1464743471285805,1.3386104341461673,1.2968843995893236,1.201422819234411,2.5871833684117944,2.8238651334899862,0.7461503262110217,2.445583607012091,2.8632324304456227,0.4654926282276424,0.8806122541934329,2.517777959777376,1.6980562217889221,3.0206285699693227,1.8385652786831668,1.116452975478259,1.9682298219333187
IKBKG,2.5185787979213243,0.8260293908912951,0.8855717492372984,1.845321040644669,0.9934516346578769,1.778978509656367,0.7655195406163942,1.8439155358207184,0.17386665698104975,0.8297108227055856,1.0787786156224215,1.5369125151267284,0.667612161262688,1.0009749638160468,0.6949078854168383,1.9678907660782683,0.8596134034537711,1.4017226351885828,1.9248308159693888,0.5042692721030316,1.220889392770099,1.8365109897254601,1.3181683903212087,3.657483200129519,1.774105911331543,2.905011055864029,0.816353841685821,2.693379589267943,1.9472074213649078,2.014887391503831,2.4777722638165947,1.5346380980714305,2.8394002960311804,1.8244248126024956,2.1351640480710663,1.9664176525964043,1.7844630807570474,2.0321562502781285,3.0229688219596023,1.5629357453896044,3.2617603257387833,3.608200628898645,1.243851207669163,1.6802716820316925,2.2768235303650415,2.499859830418111,3.4552259236033476,1.5555109173595933,0.2987589619056803,2.2852109555949047
NFKB1,1.1604785704112617,3.7391535586003033,3.2413415684993834,3.2354139035276996,2.539823129098854,2.5221603465033238,2.7370697259779773,2.752411680766562,3.1884791336839227,3.4777103317559717,3.046638273240349,4.055204353075663,3.6577125314396515,4.129245719722657,3.682806169062857,4.230554804731408,3.6939466693218033,4.738554472779998,2.3691715808280076,3.2112340554197267,3.798998456818966,2.474394908436744,2.967936139992671,1.116166359255719,1.5838399892474737,1.5257044622118225,2.5594571565473316,1.140592693079965,1.5890526246421959,1.9741614547257629,3.6487359968351565,4.347179417475887,0.5346116023632873,1.5219696921232941,1.3500750879951642,2.604004194847038,1.6252288727271793,4.234008817362443,2.4391621287856284,1.9606105017489077,1.5736902408323326,0.28875710079612993,2.4193570043218027,2.1259539215124974,3.4848797727592067,1.0958212509309857,1.673908832364798,3.2485342048686445,3.6283598107653523,1.9242854749824638
RELA,3.5074741571275863,0.7549354583297447,1.6524375187964913,2.5827590661824287,1.9734537645336612,2.690079212474478,1.5757490001120413,2.7069706528577506,1.1174229369516488,1.030392968568667,1.9068208565991007,1.2513229836793311,1.1550787791494992,1.0327112480210814,0.7181465876876955,2.304322516514529,1.330242401385202,0.662418390013745,2.5303453504781817,1.362644687943777,1.6596440997298754,2.415542243714076,1.761317422117215,4.4888048930814595,2.7448602011247023,3.8879779960285408,1.7300914088491082,3.683115778915833,2.8061523012781633,2.738216243719475,2.5820133013104822,1.6394539735018565,3.8011193951053963,2.7869354149239345,3.0189688477192433,2.4812130836341884,2.7675363687051706,2.3828988590453517,3.9398638143054425,2.4068949407597873,4.004972574009232,4.545582581576495,1.9971640889976654,2.421439934280155,2.961512833688907,3.3721723115276245,4.435264515439623,2.284934182426133,0.7723095402406641,3.2528823659475745
TNFAIP3,1.7111577172754597,2.2941963593525534,2.516753648831382,3.0101392401831517,1.8338309832824273,2.397085608762995,1.430510825270585,2.633371365125009,2.011411587864019,2.0070417919905705,2.448297636459481,2.460575097725694,2.724275766520635,3.154289327732429,2.275800673971475,3.7379815901183515,2.844309295604471,3.537408314224438,0.6995799505874543,2.296893837796651,3.093380851494423,0.8076605102561258,1.3724500654266614,1.5256047923871199,1.1270283351380077,2.355448253340529,1.394505820330205,1.8763831208719752,0.39005376049110135,0.30671179976965923,1.999364865165483,3.5740680342925217,1.4117930470352003,1.0384903039334714,0.4821748913428484,0.9356411717867913,1.3028976442254134,3.772731711156844,3.0806758865166404,0.642791078175962,1.07980481594032,1.8364662213023577,0.9733278714464161,0.5530050235995987,3.4101982558294592,0.5747246742928016,2.8063599096716447,2.868309764007399,2.48140914063195,2.2216328818916944
TRADD,1.328990826630482,2.1618129528298073,0.8832819463108017,0.9968598964219195,0.4374925036557348,0.45982535845367944,1.3718631887045483,0.6510756380821537,1.3385485934205972,2.042619213768302,0.6523194287611708,2.8014756470484214,1.3873195672248986,1.8387852708106234,2.044074252180449,1.8541335608118468,1.3604394679209761,2.595168730151476,2.2234029611372597,1.0129116146652715,1.4024695238297848,2.2111230009948994,2.093225154646645,3.097858754812433,0.9731926472019655,1.553464085642819,1.1145199503705476,1.4620739305226063,1.63114315626189,2.0461844811424323,3.3119552639492946,1.9533437101431395,1.8712811769470175,1.0702829741064184,1.6674917826314661,2.402905328435488,0.8423439548458589,1.8690482586521482,1.637049650409407,1.4677871187016842,2.976915768931095,2.6933533928544424,1.5724038789291082,1.7995558201805804,1.399992700981161,1.980215978444295,2.0876466308312183,0.8939580783973656,1.58867298336719,0.8941308810890645
TRAF2,2.241798242175746,1.325878341771158,0.3970722903443006,1.3463140807909706,0.6657652291846938,1.319619597389091,0.9921848080140678,1.359645996234031,0.5421748917872561,1.3108041705118345,0.5799947102102049,2.0347949734200346,0.47759580633976656,0.9458143796720389,1.1945972573779802,1.583546092588546,0.5737634119348631,1.613673885738446,2.159692710637267,0.026607544114561846,0.8593783798764673,2.0928942076637354,1.683321748502401,3.650724568621867,1.6058021831510654,2.546102677656685,0.8958212596076329,2.40059689967609,1.9662064170765683,2.1616635849011114,2.895861622878399,1.3040152066244866,2.6612769556690083,1.677219338827714,2.1125283741342717,2.250055466640978,1.5678341664451367,1.6384215171908176,2.570190999005018,1.627786336005351,3.3445246775261546,3.465416615652064,1.4338725266366568,1.8356359045185475,1.7807654780067492,2.476767173287004,3.084340414597892,1.0588197053203217,0.6026736668050038,1.8908147410874643
TRAF5,1.1138150371575066,3.111072726132074,1.676573006792272,1.1279267612133703,1.384299110687102,0.5970892303773548,2.280036309870045,0.6871433760582061,2.286947896770191,2.9857776956473745,1.4089613249714255,3.7431369896701208,2.215656382606607,2.6175239380182984,2.9932734390688074,2.1848043930818886,2.130223124171023,3.4353590780836947,2.9346757646008275,1.9138840711045457,2.0328613084862583,2.9525055822744757,2.963950882655175,3.207951835609946,1.4187900654600012,0.8912508124467365,2.013077842841844,1.1171781723390946,2.156217684863479,2.667211710735557,4.1410003751301385,2.5488506131893383,1.7920803656713065,1.5017705761383877,2.0876366334620626,3.1477029800647434,1.2424973974949478,2.163938775190318,0.6889164469174663,2.1488643273052603,3.2976035592719075,2.5284667354026986,2.3862302579396166,2.5004224249390354,1.2584166965614991,2.2880280822306616,1.308590276783641,1.279714186196962,2.5053663611341794,0.3493652415057028
