,Actb,Ccl5,Ftl1,mt-Co1,mt-Co3
GAPDH,30.05115514550809,33.999163818252065,35.7321340979365,22.3388409199707,43.74677171025561
IKBKB,18.390838265225447,27.56925256805767,24.527497299181597,18.03267190222679,31.389071078042715
IKBKG,52.95882923424695,67.18159165696176,38.276820091352086,57.81409732039435,51.23838424176129
NFKB1,36.35743860345939,54.78239524733812,18.741197201726123,53.89159325733157,17.74831212327262
RELA,26.07483286872287,7.913329102636591,47.70165378959683,18.510486028959427,43.56149007673473
TNFAIP3,30.865252011469842,49.67024494949583,10.836391058212858,47.35251827757672,15.152864068890482
TRADD,36.98778411648897,55.35153335729098,19.606571723093992,54.600896676319735,18.21298928492015
TRAF2,9.803965489718134,26.073369545765892,18.909218520021756,28.069228875435503,11.418091854104079
TRAF5,30.374934926999753,17.30600869099834,48.873819341806545,12.138280244233489,49.928326860320574
